date,from_currency,to_currency,rate
2026-01-01,GBP,USD,1.2710
2026-01-02,GBP,USD,1.2724
2026-01-03,GBP,USD,1.2698
2026-01-04,GBP,USD,1.2715
2026-01-05,GBP,USD,1.2731
2026-01-06,GBP,USD,1.2743
2026-01-07,GBP,USD,1.2750
2026-01-08,GBP,USD,1.2762
2026-01-09,GBP,USD,1.2748
2026-01-10,GBP,USD,1.2735
2026-01-11,GBP,USD,1.2719
2026-01-12,GBP,USD,1.2704
2026-01-13,GBP,USD,1.2711
2026-01-14,GBP,USD,1.2728
2026-01-15,GBP,USD,1.2745
2026-01-16,GBP,USD,1.2760
2026-01-17,GBP,USD,1.2774
2026-01-18,GBP,USD,1.2788
2026-01-19,GBP,USD,1.2801
2026-01-20,GBP,USD,1.2815
2026-01-21,GBP,USD,1.2829
2026-01-22,GBP,USD,1.2843
2026-01-23,GBP,USD,1.2857
2026-01-24,GBP,USD,1.2870
2026-01-25,GBP,USD,1.2884
2026-01-26,GBP,USD,1.2897
2026-01-27,GBP,USD,1.2910
2026-01-28,GBP,USD,1.2923
2026-01-29,GBP,USD,1.2936
2026-01-30,GBP,USD,1.2949
2026-01-31,GBP,USD,1.2962
2026-02-01,GBP,USD,1.2975
2026-02-02,GBP,USD,1.2988
2026-02-03,GBP,USD,1.3001
2026-01-01,EUR,USD,1.0352
2026-01-02,EUR,USD,1.0368
2026-01-03,EUR,USD,1.0341
2026-01-04,EUR,USD,1.0357
2026-01-05,EUR,USD,1.0373
2026-01-06,EUR,USD,1.0389
2026-01-07,EUR,USD,1.0405
2026-01-08,EUR,USD,1.0421
2026-01-09,EUR,USD,1.0437
2026-01-10,EUR,USD,1.0412
2026-01-11,EUR,USD,1.0398
2026-01-12,EUR,USD,1.0383
2026-01-13,EUR,USD,1.0369
2026-01-14,EUR,USD,1.0354
2026-01-15,EUR,USD,1.0340
2026-01-16,EUR,USD,1.0356
2026-01-17,EUR,USD,1.0372
2026-01-18,EUR,USD,1.0388
2026-01-19,EUR,USD,1.0404
2026-01-20,EUR,USD,1.0420
2026-01-21,EUR,USD,1.0436
2026-01-22,EUR,USD,1.0452
2026-01-23,EUR,USD,1.0468
2026-01-24,EUR,USD,1.0484
2026-01-25,EUR,USD,1.0500
2026-01-26,EUR,USD,1.0516
2026-01-27,EUR,USD,1.0532
2026-01-28,EUR,USD,1.0548
2026-01-29,EUR,USD,1.0564
2026-01-30,EUR,USD,1.0580
2026-01-31,EUR,USD,1.0596
2026-02-01,EUR,USD,1.0612
2026-02-02,EUR,USD,1.0628
2026-02-03,EUR,USD,1.0644
