order_id,customer_id,status,amount_usd,currency,created_at,paid_at,recognized_at
ORD-001,CUST-101,completed,12500.00,USD,2026-01-03 09:15:00,2026-01-05 14:22:00,2026-01-05 00:00:00
ORD-002,CUST-102,completed,8750.00,USD,2026-01-04 11:30:00,2026-01-06 10:05:00,2026-01-06 00:00:00
ORD-003,CUST-103,invoiced,15000.00,USD,2026-01-05 08:00:00,,2026-01-07 00:00:00
ORD-004,CUST-104,completed,6200.00,GBP,2026-01-06 13:45:00,2026-01-08 09:30:00,2026-01-08 00:00:00
ORD-005,CUST-105,pending,3400.00,USD,2026-01-07 16:00:00,,
ORD-006,CUST-106,completed,9100.00,USD,2026-01-08 10:20:00,2026-01-10 11:45:00,2026-01-10 00:00:00
ORD-007,CUST-107,invoiced,22000.00,EUR,2026-01-09 14:00:00,,2026-01-11 00:00:00
ORD-008,CUST-108,completed,5500.00,USD,2026-01-10 09:00:00,2026-01-12 15:30:00,2026-01-12 00:00:00
ORD-009,CUST-109,refunded,4200.00,USD,2026-01-11 11:00:00,2026-01-13 10:00:00,
ORD-010,CUST-110,completed,18750.00,USD,2026-01-12 08:30:00,2026-01-14 16:00:00,2026-01-14 00:00:00
ORD-011,CUST-111,completed,7300.00,GBP,2026-01-13 13:00:00,2026-01-15 12:00:00,2026-01-15 00:00:00
ORD-012,CUST-112,invoiced,11000.00,USD,2026-01-14 10:00:00,,2026-01-16 00:00:00
ORD-013,CUST-113,pending,2900.00,EUR,2026-01-15 09:30:00,,
ORD-014,CUST-114,completed,8400.00,USD,2026-01-16 14:15:00,2026-01-18 11:00:00,2026-01-18 00:00:00
ORD-015,CUST-115,completed,16500.00,USD,2026-01-17 11:00:00,2026-01-20 09:00:00,2026-01-20 00:00:00
ORD-016,CUST-116,invoiced,9800.00,GBP,2026-01-19 08:45:00,,2026-01-21 00:00:00
ORD-017,CUST-117,refunded,3100.00,USD,2026-01-20 15:00:00,2026-01-22 14:00:00,
ORD-018,CUST-118,completed,13200.00,USD,2026-01-21 10:30:00,2026-01-23 10:00:00,2026-01-23 00:00:00
ORD-019,CUST-119,completed,4750.00,EUR,2026-01-22 09:00:00,2026-01-24 13:30:00,2026-01-24 00:00:00
ORD-020,CUST-120,invoiced,28000.00,USD,2026-01-23 12:00:00,,2026-01-25 00:00:00
ORD-021,CUST-121,completed,6600.00,USD,2026-01-25 14:00:00,2026-01-27 11:00:00,2026-01-27 00:00:00
ORD-022,CUST-122,completed,11400.00,USD,2026-01-27 09:15:00,2026-01-29 15:00:00,2026-01-29 00:00:00
ORD-023,CUST-123,pending,5200.00,USD,2026-01-28 11:30:00,,
ORD-024,CUST-124,completed,19800.00,USD,2026-01-29 08:00:00,2026-01-31 10:00:00,2026-01-31 00:00:00
ORD-025,CUST-125,invoiced,7500.00,EUR,2026-01-30 16:00:00,,2026-02-03 00:00:00
ORD-026,CUST-101,completed,8900.00,USD,2025-12-28 10:00:00,2026-01-02 09:00:00,2026-01-02 00:00:00
ORD-027,CUST-126,completed,14300.00,USD,2025-12-30 14:00:00,2026-01-04 11:00:00,2026-01-04 00:00:00
ORD-028,CUST-127,completed,6800.00,GBP,2026-02-01 09:00:00,2026-02-03 14:00:00,2026-02-03 00:00:00
