item_id,order_id,product_id,product_name,quantity,unit_price,line_total
ITEM-0001,ORD-001,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0002,ORD-002,PROD-ENT,Enterprise Plan Annual,1,8400.00,8400.00
ITEM-0003,ORD-002,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0004,ORD-003,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0005,ORD-004,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0006,ORD-004,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0007,ORD-004,PROD-TRAIN,Training Package,1,0.00,0.00
ITEM-0008,ORD-005,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0009,ORD-006,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0010,ORD-006,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0011,ORD-007,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0012,ORD-008,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0013,ORD-008,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0014,ORD-009,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0015,ORD-010,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0016,ORD-011,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0017,ORD-011,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0018,ORD-011,PROD-TRAIN,Training Package,1,0.00,0.00
ITEM-0019,ORD-012,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0020,ORD-012,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0021,ORD-013,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0022,ORD-014,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0023,ORD-014,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0024,ORD-015,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0025,ORD-016,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0026,ORD-016,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0027,ORD-017,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0028,ORD-018,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0029,ORD-018,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0030,ORD-019,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0031,ORD-020,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0032,ORD-020,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0033,ORD-021,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0034,ORD-021,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0035,ORD-022,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0036,ORD-023,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0037,ORD-023,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0038,ORD-024,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0039,ORD-025,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0040,ORD-025,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0041,ORD-026,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0042,ORD-027,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0043,ORD-027,PROD-IMPL,Implementation Services,1,0.00,0.00
