order_id,customer_id,order_date,status,total_amount
ORD-001,1001,2026-01-02,completed,1250.00
ORD-002,1002,2026-01-03,completed,8400.00
ORD-003,1003,2026-01-04,completed,1250.00
ORD-004,1004,2026-01-05,completed,16800.00
ORD-005,1005,2026-01-06,completed,1250.00
ORD-006,1007,2026-01-07,completed,16800.00
ORD-007,1009,2026-01-08,completed,1250.00
ORD-008,1011,2026-01-09,completed,16800.00
ORD-009,1012,2026-01-10,completed,1250.00
ORD-010,1014,2026-01-11,completed,1250.00
ORD-011,1015,2026-01-12,completed,16800.00
ORD-012,1018,2026-01-13,completed,16800.00
ORD-013,1019,2026-01-14,completed,1250.00
ORD-014,1022,2026-01-15,completed,16800.00
ORD-015,1023,2026-01-16,completed,1250.00
ORD-016,1026,2026-01-17,completed,16800.00
ORD-017,1027,2026-01-18,completed,1250.00
ORD-018,1030,2026-01-19,completed,16800.00
ORD-019,1031,2026-01-20,completed,1250.00
ORD-020,1034,2026-01-21,completed,16800.00
ORD-021,1037,2026-01-22,completed,16800.00
ORD-022,1038,2026-01-23,completed,1250.00
ORD-023,1041,2026-01-24,completed,16800.00
ORD-024,1042,2026-01-25,completed,1250.00
ORD-025,1044,2026-01-26,completed,16800.00
ORD-026,1045,2026-01-27,completed,1250.00
ORD-027,1048,2026-01-28,completed,16800.00
ORD-028,1049,2026-01-29,completed,1250.00
ORD-029,1051,2026-01-30,completed,1250.00
ORD-030,1052,2026-01-31,completed,16800.00
ORD-031,1053,2026-01-31,completed,1250.00
ORD-032,1055,2026-01-31,completed,1250.00
ORD-033,1056,2026-01-31,completed,16800.00
ORD-034,1057,2026-01-31,completed,1250.00
ORD-035,1060,2026-01-31,completed,16800.00
ORD-036,1001,2026-01-15,completed,950.00
ORD-037,1002,2026-01-20,completed,4200.00
ORD-038,1003,2026-01-25,completed,950.00
ORD-039,1004,2026-01-28,completed,8400.00
ORD-040,1005,2026-01-29,completed,950.00
ORD-041,1006,2026-01-10,completed,99.00
ORD-042,1008,2026-01-12,completed,99.00
ORD-043,1010,2026-01-14,completed,99.00
ORD-044,1013,2026-01-16,completed,99.00
ORD-045,1017,2026-01-18,completed,99.00
ORD-046,1020,2026-01-20,completed,99.00
ORD-047,1024,2026-01-22,completed,99.00
ORD-048,1028,2026-01-24,completed,99.00
ORD-049,1032,2026-01-26,completed,99.00
ORD-050,1036,2026-01-28,completed,99.00
ORD-051,1039,2026-01-15,completed,99.00
ORD-052,1040,2026-01-17,completed,1250.00
ORD-053,1042,2026-01-19,completed,950.00
ORD-054,1043,2026-01-21,completed,99.00
ORD-055,1046,2026-01-23,completed,99.00
ORD-056,1047,2026-01-25,completed,1250.00
ORD-057,1050,2026-01-27,completed,99.00
ORD-058,1054,2026-01-29,completed,99.00
ORD-059,1058,2026-01-30,completed,99.00
ORD-060,1059,2026-01-31,completed,1250.00
ORD-061,1061,2026-02-02,completed,1250.00
ORD-062,1062,2026-02-03,completed,99.00
ORD-063,1063,2026-02-04,completed,1250.00
ORD-064,1064,2026-02-05,completed,16800.00
ORD-065,1065,2026-02-06,completed,1250.00
ORD-066,1066,2026-02-07,completed,99.00
ORD-067,1067,2026-02-08,completed,1250.00
ORD-068,1068,2026-02-09,completed,16800.00
ORD-069,1069,2026-02-10,completed,1250.00
ORD-070,1070,2026-02-11,completed,99.00
ORD-071,1071,2026-02-12,completed,1250.00
ORD-072,1072,2026-02-13,completed,16800.00
ORD-073,1073,2026-02-14,completed,1250.00
ORD-074,1074,2026-02-15,completed,99.00
ORD-075,1075,2026-02-16,completed,1250.00
ORD-076,1076,2026-02-17,completed,16800.00
ORD-077,1077,2026-02-18,completed,1250.00
ORD-078,1078,2026-02-18,completed,99.00
ORD-079,1079,2026-02-19,completed,1250.00
ORD-080,1080,2026-02-19,completed,16800.00
ORD-081,1081,2026-02-20,completed,1250.00
ORD-082,1082,2026-02-20,completed,99.00
ORD-083,1083,2026-02-21,completed,1250.00
ORD-084,1084,2026-02-21,completed,16800.00
ORD-085,1085,2026-02-22,completed,1250.00
ORD-086,1086,2026-02-22,completed,99.00
ORD-087,1001,2026-02-05,completed,1250.00
ORD-088,1002,2026-02-10,completed,8400.00
ORD-089,1004,2026-02-12,completed,16800.00
ORD-090,1007,2026-02-14,completed,16800.00
ORD-091,1011,2026-02-16,completed,16800.00
ORD-092,1015,2026-02-18,completed,16800.00
ORD-093,1018,2026-02-20,completed,16800.00
ORD-094,1022,2026-02-21,completed,16800.00
ORD-095,1026,2026-02-22,completed,16800.00
ORD-096,1030,2026-02-22,completed,16800.00
ORD-097,1034,2026-02-22,completed,16800.00
ORD-098,1037,2026-02-22,completed,16800.00
ORD-099,1041,2026-02-22,completed,16800.00
ORD-100,1044,2026-02-22,completed,16800.00
ORD-101,1048,2026-02-22,completed,16800.00
ORD-102,1052,2026-02-22,completed,16800.00
ORD-103,1056,2026-02-22,completed,16800.00
ORD-104,1060,2026-02-22,completed,16800.00
ORD-105,1064,2026-02-22,completed,16800.00
ORD-106,1068,2026-02-22,completed,16800.00
ORD-107,1072,2026-02-22,completed,16800.00
ORD-108,1076,2026-02-22,completed,16800.00
ORD-109,1080,2026-02-22,completed,16800.00
ORD-110,1084,2026-02-22,completed,16800.00
ORD-111,1088,2026-02-22,completed,16800.00
ORD-112,1091,2026-02-22,completed,16800.00
ORD-113,1095,2026-02-22,completed,16800.00
ORD-114,1099,2026-02-22,completed,16800.00
ORD-115,1003,2026-02-05,completed,1250.00
ORD-116,1005,2026-02-08,completed,1250.00
ORD-117,1009,2026-02-11,completed,1250.00
ORD-118,1012,2026-02-13,completed,1250.00
ORD-119,1014,2026-02-15,completed,1250.00
ORD-120,1016,2026-02-17,completed,1250.00
ORD-121,1019,2026-02-18,completed,1250.00
ORD-122,1021,2026-02-19,completed,1250.00
ORD-123,1023,2026-02-19,completed,1250.00
ORD-124,1025,2026-02-20,completed,1250.00
ORD-125,1027,2026-02-20,completed,1250.00
ORD-126,1029,2026-02-21,completed,1250.00
ORD-127,1031,2026-02-21,completed,1250.00
ORD-128,1033,2026-02-21,completed,1250.00
ORD-129,1035,2026-02-21,completed,1250.00
ORD-130,1038,2026-02-22,completed,1250.00
ORD-131,1040,2026-02-22,completed,1250.00
ORD-132,1042,2026-02-22,completed,1250.00
ORD-133,1045,2026-02-22,completed,1250.00
ORD-134,1047,2026-02-22,completed,1250.00
ORD-135,1049,2026-02-22,completed,1250.00
ORD-136,1051,2026-02-22,completed,1250.00
ORD-137,1053,2026-02-22,completed,1250.00
ORD-138,1055,2026-02-22,completed,1250.00
ORD-139,1057,2026-02-22,completed,1250.00
ORD-140,1059,2026-02-22,completed,1250.00
ORD-141,1061,2026-02-22,completed,1250.00
ORD-142,1063,2026-02-22,completed,1250.00
ORD-143,1065,2026-02-22,completed,1250.00
ORD-144,1067,2026-02-22,completed,1250.00
ORD-145,1069,2026-02-22,completed,1250.00
ORD-146,1071,2026-02-22,completed,1250.00
ORD-147,1073,2026-02-22,completed,1250.00
ORD-148,1075,2026-02-22,completed,1250.00
ORD-149,1077,2026-02-22,completed,1250.00
ORD-150,1079,2026-02-22,completed,1250.00
ORD-151,1081,2026-02-22,completed,1250.00
ORD-152,1083,2026-02-22,completed,1250.00
ORD-153,1085,2026-02-22,completed,1250.00
ORD-154,1087,2026-02-22,completed,1250.00
ORD-155,1089,2026-02-22,completed,1250.00
ORD-156,1090,2026-02-22,completed,1250.00
ORD-157,1092,2026-02-22,completed,1250.00
ORD-158,1093,2026-02-22,completed,1250.00
ORD-159,1094,2026-02-22,completed,1250.00
ORD-160,1096,2026-02-22,completed,1250.00
ORD-161,1097,2026-02-22,completed,1250.00
ORD-162,1098,2026-02-22,completed,1250.00
ORD-163,1100,2026-02-22,completed,1250.00
ORD-164,1101,2026-02-22,completed,99.00
ORD-165,1102,2026-02-22,completed,16800.00
ORD-166,1103,2026-02-22,completed,1250.00
ORD-167,1104,2026-02-22,completed,99.00
ORD-168,1105,2026-02-22,completed,1250.00
ORD-169,1106,2026-02-22,completed,16800.00
ORD-170,1107,2026-02-22,completed,1250.00
ORD-171,1108,2026-02-22,completed,99.00
ORD-172,1109,2026-02-22,completed,1250.00
ORD-173,1110,2026-02-22,completed,16800.00
ORD-174,1111,2026-02-22,completed,1250.00
ORD-175,1112,2026-02-22,completed,99.00
ORD-176,1113,2026-02-22,completed,1250.00
ORD-177,1114,2026-02-22,completed,16800.00
ORD-178,1115,2026-02-22,completed,1250.00
ORD-179,1116,2026-02-22,completed,99.00
ORD-180,1117,2026-02-22,completed,1250.00
ORD-181,1118,2026-02-22,completed,16800.00
ORD-182,1119,2026-02-22,completed,1250.00
ORD-183,1120,2026-02-22,completed,99.00
ORD-184,1086,2026-02-22,completed,99.00
ORD-185,1088,2026-02-23,completed,16800.00
ORD-186,1091,2026-02-23,completed,16800.00
ORD-187,1095,2026-02-23,completed,16800.00
ORD-188,1099,2026-02-23,completed,16800.00
ORD-189,1102,2026-02-23,completed,16800.00
ORD-190,1106,2026-02-23,completed,16800.00
ORD-191,1110,2026-02-23,completed,16800.00
ORD-192,1114,2026-02-23,completed,16800.00
ORD-193,1118,2026-02-23,completed,16800.00
ORD-194,1087,2026-02-23,completed,1250.00
ORD-195,1089,2026-02-23,completed,99.00
ORD-196,1090,2026-02-23,completed,1250.00
ORD-197,1092,2026-02-23,completed,1250.00
ORD-198,1093,2026-02-23,completed,99.00
ORD-199,1094,2026-02-23,completed,1250.00
ORD-200,1096,2026-02-23,completed,1250.00
