run_id,model_name,run_at,status,rows_affected,duration_seconds,exit_code,warning_message
RUN-001,stg_orders,2026-02-17 02:03:11,success,186,12,0,
RUN-002,stg_order_items,2026-02-17 02:03:24,success,312,18,0,
RUN-003,stg_customers,2026-02-17 02:03:43,success,118,9,0,
RUN-004,fct_order_revenue,2026-02-17 02:04:01,success,312,22,0,
RUN-005,fct_customer_metrics,2026-02-17 02:04:28,success,118,34,0,
RUN-006,fct_revenue_summary,2026-02-17 02:04:63,success,186,19,0,
RUN-007,stg_orders,2026-02-18 02:02:58,success,190,11,0,
RUN-008,stg_order_items,2026-02-18 02:03:10,success,320,17,0,
RUN-009,stg_customers,2026-02-18 02:03:28,success,121,8,0,
RUN-010,fct_order_revenue,2026-02-18 02:03:45,success,320,24,0,
RUN-011,fct_customer_metrics,2026-02-18 02:04:12,success,121,31,0,
RUN-012,fct_revenue_summary,2026-02-18 02:04:44,success,190,18,0,
RUN-013,stg_orders,2026-02-19 02:03:07,success,194,12,0,
RUN-014,stg_order_items,2026-02-19 02:03:20,success,328,19,0,
RUN-015,stg_customers,2026-02-19 02:03:40,success,123,9,0,
RUN-016,fct_order_revenue,2026-02-19 02:03:50,success,328,26,0,
RUN-017,fct_customer_metrics,2026-02-19 22:14:33,success,123,33,0,
RUN-018,fct_revenue_summary,2026-02-19 02:04:19,success,194,17,0,
RUN-019,stg_orders,2026-02-20 02:02:44,success,196,11,0,
RUN-020,stg_order_items,2026-02-20 02:02:57,success,330,18,0,
RUN-021,stg_customers,2026-02-20 02:03:15,success,124,8,0,
RUN-022,fct_order_revenue,2026-02-20 02:03:24,success,330,23,0,
RUN-023,fct_customer_metrics,2026-02-20 02:03:58,warning_cached,0,0,0,Compilation warning: relation 'fct_customer_metrics' already exists as table. Using cached result. Re-run with --full-refresh to rebuild.
RUN-024,fct_revenue_summary,2026-02-20 02:03:58,success,196,16,0,
RUN-025,stg_orders,2026-02-21 02:03:21,success,198,12,0,
RUN-026,stg_order_items,2026-02-21 02:03:34,success,334,19,0,
RUN-027,stg_customers,2026-02-21 02:03:53,success,125,9,0,
RUN-028,fct_order_revenue,2026-02-21 02:04:02,success,334,25,0,
RUN-029,fct_customer_metrics,2026-02-21 02:04:38,warning_cached,0,0,0,Compilation warning: relation 'fct_customer_metrics' already exists as table. Using cached result. Re-run with --full-refresh to rebuild.
RUN-030,fct_revenue_summary,2026-02-21 02:04:38,success,198,17,0,
